Category: All categories

Day,Bitcoin: (Worldwide)
2018-05-01,89
2018-05-02,85
2018-05-03,96
2018-05-04,94
2018-05-05,96
2018-05-06,86
2018-05-07,95
2018-05-08,91
2018-05-09,84
2018-05-10,91
2018-05-11,100
2018-05-12,89
2018-05-13,81
2018-05-14,92
2018-05-15,85
2018-05-16,85
2018-05-17,79
2018-05-18,82
2018-05-19,72
2018-05-20,68
2018-05-21,75
2018-05-22,80
2018-05-23,95
2018-05-24,92
2018-05-25,79
2018-05-26,69
2018-05-27,73
2018-05-28,81
2018-05-29,83
2018-05-30,74
2018-05-31,72
