Category: All categories

Day,Bitcoin: (Worldwide)
2019-02-01,73
2019-02-02,68
2019-02-03,66
2019-02-04,79
2019-02-05,89
2019-02-06,86
2019-02-07,81
2019-02-08,82
2019-02-09,80
2019-02-10,72
2019-02-11,77
2019-02-12,75
2019-02-13,74
2019-02-14,71
2019-02-15,70
2019-02-16,66
2019-02-17,66
2019-02-18,91
2019-02-19,97
2019-02-20,90
2019-02-21,83
2019-02-22,83
2019-02-23,85
2019-02-24,100
2019-02-25,87
2019-02-26,79
2019-02-27,74
2019-02-28,77
