Category: All categories

Day,Bitcoin: (Worldwide)
2020-06-01,71
2020-06-02,100
2020-06-03,82
2020-06-04,75
2020-06-05,73
2020-06-06,68
2020-06-07,70
2020-06-08,68
2020-06-09,69
2020-06-10,72
2020-06-11,76
2020-06-12,72
2020-06-13,65
2020-06-14,64
2020-06-15,73
2020-06-16,67
2020-06-17,65
2020-06-18,63
2020-06-19,62
2020-06-20,61
2020-06-21,56
2020-06-22,64
2020-06-23,65
2020-06-24,65
2020-06-25,65
2020-06-26,64
2020-06-27,62
2020-06-28,66
2020-06-29,62
2020-06-30,62
