Category: All categories

Day,Bitcoin: (Worldwide)
2021-01-01,39
2021-01-02,67
2021-01-03,80
2021-01-04,65
2021-01-05,53
2021-01-06,61
2021-01-07,88
2021-01-08,88
2021-01-09,67
2021-01-10,66
2021-01-11,100
2021-01-12,75
2021-01-13,67
2021-01-14,67
2021-01-15,58
2021-01-16,49
2021-01-17,45
2021-01-18,43
2021-01-19,42
2021-01-20,40
2021-01-21,51
2021-01-22,55
2021-01-23,40
2021-01-24,37
2021-01-25,38
2021-01-26,35
2021-01-27,38
2021-01-28,40
2021-01-29,61
2021-01-30,43
2021-01-31,37
