Category: All categories

Day,Bitcoin: (Worldwide)
2017-10-01,42
2017-10-02,47
2017-10-03,46
2017-10-04,45
2017-10-05,43
2017-10-06,42
2017-10-07,39
2017-10-08,44
2017-10-09,51
2017-10-10,54
2017-10-11,51
2017-10-12,81
2017-10-13,100
2017-10-14,70
2017-10-15,65
2017-10-16,64
2017-10-17,63
2017-10-18,61
2017-10-19,60
2017-10-20,71
2017-10-21,79
2017-10-22,67
2017-10-23,77
2017-10-24,81
2017-10-25,72
2017-10-26,72
2017-10-27,63
2017-10-28,54
2017-10-29,58
2017-10-30,69
2017-10-31,80
